Record,City,Country,ID,Latitude,Longitude,Temperature,Humidity,Cloud Cover,Wind Speed
0,Ardakān,IR,143073,32.31,54.02,68,33,40,13.87
1,Ushuaia,AR,3833367,-54.8,-68.3,55.4,47,20,6.93
2,Cañon City,US,5416005,38.44,-105.24,39.11,80,90,6.98
3,Aklavik,CA,5882953,68.22,-135.01,23.7,67,90,9.17
4,Punta Arenas,CL,3874787,-53.15,-70.92,59,58,75,20.8
5,Ilulissat,GL,3423146,69.22,-51.1,3.2,71,75,8.05
6,Asău,RO,686090,46.43,26.4,43.72,48,90,12.75
7,Bosaso,SO,64013,11.28,49.18,76.95,85,55,13.18
8,Longyearbyen,SJ,2729907,78.22,15.64,-2.2,53,40,11.41
9,Tulum,MX,3515040,20.22,-87.47,84.49,58,40,16.11
10,Znamenskoye,RU,1485020,57.13,73.83,34.65,86,88,12.01
11,Oudtshoorn,ZA,967106,-33.59,22.2,64.4,100,92,1.12
12,Hamilton,US,4513583,39.18,-84.53,35.22,93,90,12.75
13,Ixtapa,MX,4004293,20.7,-105.2,78.89,74,5,13.87
14,East London,ZA,1006984,-33.02,27.91,73.89,78,51,8.93
15,Fortuna,US,5563839,40.6,-124.16,47.03,87,75,13.87
16,New Norfolk,AU,2155415,-42.78,147.06,49.96,81,75,5.82
17,Chokurdakh,RU,2126123,70.63,147.92,-27.99,97,0,2.8
18,Itoman,JP,1861280,26.12,127.67,57.33,54,75,23.04
19,San Francisco,US,5391959,37.77,-122.42,50.22,76,90,11.41
20,Vao,NC,2137773,-22.67,167.48,83.25,82,100,21.39
21,Jiuquan,CN,1279945,39.74,98.52,29.43,33,97,3.13
22,Dunedin,NZ,2191562,-45.87,170.5,57.51,75,100,1.01
23,Upernavik,GL,3418910,72.79,-56.15,-10.35,97,100,3.56
24,Codrington,AU,2171099,-38.27,141.97,58.95,71,1,15.66
25,Rikitea,PF,4030556,-23.12,-134.97,77.67,80,0,13.69
26,Saint Paul Harbor,US,5866583,57.79,-152.41,33.8,59,1,5.82
27,Muhafazat Lahij,YE,6201197,13.17,44.58,73.17,69,0,7.56
28,Nālūt,LY,2214432,30.33,10.85,63.45,21,0,9.44
29,Aykhal,RU,2027296,66,111.5,15.8,92,70,6.71
30,Kupang,ID,2057087,-10.17,123.58,81.09,82,5,4.29
31,Ouadda,CF,236901,8.08,22.4,80.91,23,100,4.41
32,Blantyre,MW,931755,-15.79,35.01,67.77,83,64,4.14
33,Vardø,NO,777019,70.37,31.11,18.63,67,40,21.18
34,Port Lincoln,AU,2063036,-34.73,135.87,60.21,76,99,15.39
35,Tuktoyaktuk,CA,6170031,69.45,-133.04,21.2,85,90,29.97
36,Uni,RU,478996,57.75,51.49,28.35,94,78,3.53
37,Bredasdorp,ZA,1015776,-34.53,20.04,66.58,77,67,6.93
38,Hermanus,ZA,3366880,-34.42,19.23,64.44,92,53,13.4
39,Mar del Plata,AR,3430863,-38,-57.56,68.49,64,0,12.75
40,Butaritari,KI,2110227,3.07,172.79,83.61,70,100,9.13
41,Faanui,PF,4034551,-16.48,-151.75,83.07,77,2,15.75
42,Gravelbourg,CA,5965462,49.88,-106.55,19.35,68,100,16.08
43,Pilar,BR,3392126,-9.6,-35.96,82.4,74,75,11.41
44,Coyhaique,CL,3894426,-45.58,-72.07,59,51,75,3.36
45,Kapaa,US,5848280,22.08,-159.32,73.8,60,1,9.17
46,Castro,BR,3466704,-24.79,-50.01,73.17,59,0,2.06
47,Clyde River,CA,5924351,70.47,-68.59,-16.6,62,20,1.07
48,Opuwo,NA,3354077,-18.06,13.84,71.91,67,88,4.63
49,Torbay,CA,6167817,47.67,-52.73,36.39,80,20,28.86
50,Srīvardhan,IN,1255619,18.03,73.02,72.27,47,71,4.16
51,Dwārka,IN,1272140,22.24,68.97,75.69,52,100,13.69
52,Ribeira Grande,PT,3372707,38.52,-28.7,60.8,77,40,5.82
53,Portland,US,5746545,45.52,-122.68,38.32,65,75,21.92
54,Albany,US,5106841,42.6,-73.97,41.09,45,75,20.8
55,Bluff,NZ,2206939,-46.6,168.33,55.99,80,100,3
56,Saskylakh,RU,2017155,71.92,114.08,1.35,95,95,10.71
57,Sola,VU,2134814,-13.88,167.55,85.41,76,54,22.17
58,Saint-Philippe,RE,935215,-21.36,55.77,74.48,83,67,12.75
59,Tuttlingen,DE,2820693,47.98,8.82,38.35,69,80,1.12
60,Villamontes,BO,3901547,-21.25,-63.5,96.93,29,88,12.39
61,Lompoc,US,5367788,34.64,-120.46,56.77,62,90,4.7
62,Gavirate,IT,3176261,45.84,8.72,45.14,93,88,4.7
63,Busselton,AU,2075265,-33.65,115.33,64.63,98,98,10.11
64,Gulu,UG,233346,2.77,32.3,74.07,73,84,0.31
65,Strezhevoy,RU,1490796,60.73,77.59,33.8,97,90,11.18
66,Shellbrook,CA,6145951,53.22,-106.4,10.4,51,90,8.05
67,Tairua,NZ,2182010,-37.02,175.85,65.43,71,0,8.59
68,Atar,MR,2381334,20.52,-13.05,71.55,10,0,5.32
69,Sulphur,US,4342816,30.24,-93.38,78.91,74,40,11.41
70,Saint George,US,5546220,37.1,-113.58,60.1,55,40,11.41
71,Norman Wells,CA,6089245,65.28,-126.83,19.4,57,90,3.36
72,Inuvik,CA,5983607,68.35,-133.72,24.04,58,90,12.57
73,Mataura,NZ,6201424,-46.19,168.86,55.99,81,100,3
74,Tiksi,RU,2015306,71.69,128.87,-16.11,80,0,8.46
75,Alofi,NU,4036284,-19.06,-169.92,82.4,83,75,6.93
76,Nanortalik,GL,3421765,60.14,-45.24,20.97,72,100,9.06
77,Saint-François,FR,2980080,46.42,3.91,39.49,80,0,2.8
78,Samarai,PG,2132606,-10.62,150.67,77.13,85,100,4.97
79,Cape Town,ZA,3369157,-33.93,18.42,66.34,82,75,16.11
80,Acaraú,BR,3408368,-2.89,-40.12,77.49,92,98,4.09
81,Saint-Pierre,RE,935214,-21.34,55.48,74.62,83,36,12.75
82,Hilo,US,5855927,19.73,-155.09,68.07,83,90,3.36
83,Beatrice,US,5063646,40.27,-96.75,34.57,90,90,16.11
84,Lebu,CL,3883457,-37.62,-73.65,62.73,55,0,13.42
85,Havøysund,NO,779622,71,24.66,19.4,79,90,33.33
86,Port Alfred,ZA,964432,-33.59,26.89,68,87,92,4
87,Maceió,BR,3395981,-9.67,-35.74,82.4,74,75,11.41
88,Winnemucca,US,5710360,40.97,-117.74,51.8,29,90,20.8
89,São Sepé,BR,3448207,-30.16,-53.57,104,24,40,2.24
90,São José da Coroa Grande,BR,3388456,-8.9,-35.15,82.53,74,100,12.24
91,Beringovskiy,RU,2126710,63.05,179.32,15.39,87,0,6.89
92,Macamic,CA,6062563,48.75,-79,23,45,20,12.75
93,Naze,JP,1855540,28.37,129.48,59,51,54,19.46
94,Poum,NC,2138555,-20.23,164.02,84.15,80,90,40.96
95,Nome,US,5870133,64.5,-165.41,32,99,90,5.82
96,Wasco,US,5550368,35.59,-119.34,64.72,48,90,8.05
97,Lüderitz,NA,3355672,-26.65,15.16,69.8,68,0,17.22
98,Yellowknife,CA,6185377,62.46,-114.35,6.44,54,90,11.41
99,Homer,US,5864145,59.64,-151.55,29.91,63,1,5.82
100,Kruisfontein,ZA,986717,-34,24.73,62.19,93,42,7.58
101,Carnarvon,AU,2074865,-24.87,113.63,77,83,75,9.17
102,Kiryat Gat,IL,293842,31.61,34.76,55.53,93,40,5.82
103,Road Town,VG,3577430,18.42,-64.62,78.64,78,40,5.82
104,Sandwick,GB,2638534,60,-1.25,44.6,93,75,18.34
105,Barrow,US,5880054,71.29,-156.79,10.4,85,40,26.4
106,Tahe,CN,2034615,52.33,124.73,-10.89,85,0,4.59
107,Hithadhoo,MV,1282256,-0.6,73.08,83.07,64,85,4.07
108,Poronaysk,RU,2121909,49.22,143.12,18.27,93,100,4.09
109,Jamestown,US,5122534,42.1,-79.24,34.05,64,1,3.36
110,Salinas,US,5391295,36.68,-121.66,54.91,51,20,14.99
111,Ancud,CL,3899695,-41.87,-73.82,60.8,59,34,6.93
112,Cabo San Lucas,MX,3985710,22.89,-109.91,77.7,44,40,23.04
113,Yārāda,IN,1252783,17.65,83.27,73.4,94,20,2.24
114,Haftoni,AZ,148088,38.76,48.76,51.8,87,40,3.36
115,Los Llanos de Aridane,ES,2514651,28.66,-17.92,60.73,63,40,11.41
116,Harper,LR,2276492,4.38,-7.72,77.67,93,67,3.02
117,Saint Anthony,US,5044290,45.02,-93.22,32.88,40,1,3.36
118,Pevek,RU,2122090,69.7,170.31,-10.89,76,54,9.19
119,Balsas,BR,3406545,-7.53,-46.04,80.37,78,82,3.47
120,Ürümqi,CN,1529102,43.8,87.6,35.6,64,26,4.47
121,Šalčininkai,LT,595016,54.3,25.38,25.23,79,0,9.17
122,Mahébourg,MU,934322,-20.41,57.7,76.23,88,40,3.36
123,Airai,TL,1651810,-8.93,125.41,63.99,83,18,2.91
124,Lavrentiya,RU,4031637,65.58,-171,20.07,57,100,4.83
125,Tūkrah,LY,88834,32.53,20.58,57.33,79,42,5.21
126,Tautira,PF,4033557,-17.73,-149.15,87.8,62,40,2.24
127,Vaini,TO,4032243,-21.2,-175.2,84.2,83,75,19.46
128,Broome,US,5110365,42.25,-75.83,39.99,55,1,12.75
129,Togur,RU,1489499,58.36,82.83,34.47,94,100,15.97
130,Esperance,AU,2071860,-33.87,121.9,64.4,93,40,13.87
131,Tateyama,JP,1850523,34.98,139.87,41.18,75,40,8.05
132,Lanzhou,CN,1804430,36.06,103.79,37.09,24,100,6.71
133,Indian Head,US,4358916,38.6,-77.16,55.51,22,90,10.29
134,Bethel,US,5282297,41.37,-73.41,50.61,36,1,11.41
135,Svetlaya,RU,2015852,46.54,138.33,25.47,69,79,12.95
136,Arraial do Cabo,BR,3471451,-22.97,-42.03,80.6,83,40,11.41
137,Omboué,GA,2396853,-1.57,9.26,77.85,93,100,1.41
138,Alice Springs,AU,2077895,-23.7,133.88,69.8,49,90,3.36
139,Atuona,PF,4020109,-9.8,-139.03,81.45,78,12,12.86
140,Henties Bay,NA,3356832,-22.12,14.28,63,92,0,6.2
141,St. George's,GD,3579925,12.06,-61.75,82.4,78,75,5.82
142,Ahipara,NZ,2194098,-35.17,173.17,63.81,71,0,3.29
143,Zwedru,LR,2272491,6.07,-8.13,77.31,87,97,4.9
144,Doboz,HU,721349,46.73,21.25,43.07,52,100,12.75
145,Sibolga,ID,1213855,1.74,98.78,71.55,95,41,3.31
146,Egvekinot,RU,4031742,66.32,-179.17,2.43,76,0,3.96
147,Port Elizabeth,ZA,964420,-33.92,25.57,67.23,82,91,12.48
148,Bedelē,ET,342567,8.46,36.35,71.37,65,100,0.51
149,Klamath Falls,US,5735238,42.22,-121.78,37.8,80,90,8.79
150,Isangel,VU,2136825,-19.55,169.27,82.4,83,90,4.7
151,Yamada,JP,2110560,39.47,141.95,31.95,77,31,5.06
152,Puerto Ayora,EC,3652764,-0.74,-90.35,84.27,70,20,11.41
153,Mersing,MY,1732826,2.43,103.84,82.4,83,99,8.05
154,Bathsheba,BB,3374083,13.22,-59.52,77,83,75,20.8
155,Waingapu,ID,1622318,-9.66,120.26,82.89,74,100,5.26
156,Constitución,CL,3893726,-35.33,-72.42,65.79,50,67,12.33
157,Quepos,CR,3622193,9.42,-84.17,84.16,45,20,17.22
158,Beyneu,KZ,610298,45.32,55.2,52.47,78,100,7.78
159,Namasuba,UG,228227,0.69,32.42,67.41,90,67,3.02
160,Qaanaaq,GL,3831208,77.48,-69.36,-20.25,61,0,5.26
161,Cayenne,GF,3382160,4.93,-52.33,84.2,66,75,11.41
162,Rundu,NA,3353383,-17.93,19.77,73.4,78,75,8.05
163,Toamasina,MG,1053384,-18.17,49.38,77,88,75,11.41
164,Dikson,RU,1507390,73.51,80.55,-15.75,99,57,11.54
165,Puerto Baquerizo Moreno,EC,3652758,-0.9,-89.6,84.2,74,40,5.82
166,Pathalgaon,IN,1260141,22.57,83.47,62.91,87,21,8.81
167,Avarua,CK,4035715,-21.21,-159.78,84.2,74,37,6.93
168,Avila,ES,3129138,40.58,-5,44.6,62,0,0.67
169,Hobart,AU,2163355,-42.88,147.33,50.25,81,75,5.82
170,Porto Santo,PT,8010683,33.07,-16.34,59.27,63,75,12.75
171,George Town,MY,1735106,5.41,100.34,81.46,83,20,2.24
172,Sitka,US,5557293,57.05,-135.33,38.71,55,1,4.38
173,Hasaki,JP,2112802,35.73,140.83,31.24,63,40,3.36
174,Provideniya,RU,4031574,64.38,-173.3,19.89,81,100,5.12
175,Vila Velha,BR,3445026,-20.33,-40.29,81.1,74,40,9.17
176,Río Gallegos,AR,3838859,-51.62,-69.22,62.6,48,100,9.17
177,Pryazha,RU,504409,61.69,33.62,23,73,100,17.9
178,Zeya,RU,2012593,53.75,127.27,-9.81,84,0,3.87
179,Shingū,JP,1847947,33.73,135.98,44.37,72,0,12.62
180,Deloraine,AU,2169113,-41.53,146.67,49.06,87,68,2.24
181,Virú,PE,3690875,-8.42,-78.75,77,78,20,8.05
182,Sørland,NO,3137469,67.67,12.69,35.01,96,100,23.78
183,Taketa,JP,1850878,32.97,131.38,35.6,80,20,3.36
184,Aksu,CN,1529660,41.12,80.26,40.77,27,7,5.55
185,Dingle,PH,1714733,11,122.67,71.19,89,14,6.15
186,Da Lat,VN,1584071,11.95,108.44,56.25,82,92,3.49
187,Flin Flon,CA,5954718,54.77,-101.86,8.6,50,90,4.7
188,Ballinasloe,IE,2966753,53.33,-8.22,41.67,88,96,13.31
189,Novaya Igirma,RU,2019004,57.13,103.91,30.69,97,100,7.49
190,Linjiang,CN,2036069,41.81,126.91,15.57,90,92,5.66
191,Kahului,US,5847411,20.89,-156.47,76.33,69,40,13.87
192,Berbera,SO,64435,10.44,45.01,78.21,83,42,8.93
193,San Patricio,MX,3985168,19.22,-104.7,86,74,20,5.82
194,Mauá,BR,3457381,-23.67,-46.46,77.31,78,20,9.17
195,Cidreira,BR,3466165,-30.18,-50.21,76.95,83,0,16.89
196,Bloemfontein,ZA,1018725,-29.12,26.21,60.8,87,0,2.24
197,Labuhan,ID,8079926,-6.88,112.21,75.69,92,89,2.42
198,Kavieng,PG,2094342,-2.57,150.8,84.15,72,100,9.84
199,La Santisima Trinidad,BO,3902377,-14.83,-64.9,91.4,63,75,3.36
200,Palauig,PH,1696188,15.44,119.9,72.45,80,56,4.99
201,Bud,US,4255151,39.45,-86.18,34.54,80,90,9.17
202,Klaksvík,FO,2618795,62.23,-6.59,35.6,74,100,9.17
203,Kenora,CA,5991056,49.82,-94.43,21.22,57,100,5.82
204,Bubaque,GW,2374583,11.28,-15.83,84.15,62,0,21.3
205,Boden,SE,606531,65.83,21.69,26.6,58,100,11.41
206,Zhangaözen,KZ,607610,43.3,52.8,55.53,50,100,12.24
207,Ekibastuz,KZ,1524325,51.67,75.37,33.75,82,100,15.46
208,Conceição do Araguaia,BR,3401845,-8.26,-49.26,84.2,70,100,1.72
209,Pisco,PE,3932145,-13.7,-76.22,73.83,30,100,19.46
210,Te Anau,NZ,2181625,-45.42,167.72,51.03,69,100,2.48
211,Taoudenni,ML,2450173,22.68,-3.98,74.25,10,0,3.98
212,Kédougou,SN,2250645,12.56,-12.17,86.67,9,18,2.42
213,Verāval,IN,1253237,20.9,70.37,67.23,26,98,10.54
214,Axum,ET,344420,14.12,38.72,61.11,58,100,3.83
215,Atbasar,KZ,1526038,51.8,68.33,33.93,98,100,12.15
216,Horsham,GB,2646557,51.06,-0.33,48.67,93,75,13.87
217,Ostrovnoy,RU,556268,68.05,39.51,10.89,94,100,13.11
218,Kaitangata,NZ,2208248,-46.28,169.85,57.99,75,100,1.01
219,Souillac,MU,933995,-20.52,57.52,76.24,88,40,3.36
220,Hambantota,LK,1244926,6.12,81.12,78.93,78,20,16.26
221,Leningradskiy,RU,2123814,69.38,178.42,-6.21,72,29,6.96
222,Dryden,CA,5942913,49.78,-92.75,21.2,34,20,9.17
223,Paita,PE,3694112,-5.09,-81.11,62.6,100,100,11.41
224,Korla,CN,1529376,41.76,86.15,37,63,100,1.99
225,Luena,AO,3347719,-11.78,19.92,62.73,96,83,1.21
226,Hyères,FR,6451497,43.12,6.12,51.06,66,2,4.7
227,Biloela,AU,2175819,-24.42,150.5,63.99,81,0,14.9
228,Vágur,FO,2610806,61.47,-6.81,40.59,70,100,23
229,Bambous Virieux,MU,1106677,-20.34,57.76,76.21,88,40,3.36
230,Narsaq,GL,3421719,60.92,-46.05,21.2,67,75,3.36
231,Siedlce,PL,759412,52.17,22.29,25,65,0,10.78
232,Katsuura,JP,2112309,35.13,140.3,41.79,70,20,8.05
233,Nanzhang,CN,1799574,31.78,111.84,52.11,42,0,2.42
234,Khatanga,RU,2022572,71.97,102.5,25.29,88,100,12.8
235,San Quintín,MX,3984997,30.48,-115.95,62.91,67,43,12.06
236,Benghazi,LY,88319,32.12,20.07,62.55,73,33,2.21
237,Luziânia,BR,3458329,-16.25,-47.95,79.45,51,40,9.17
238,Hondomachi-hondo,JP,1862230,32.45,130.2,46.24,61,75,11.41
239,Ambilobe,MG,1082243,-13.2,49.05,81.45,85,100,14.74
240,Ifanadiana,MG,1064366,-21.3,47.63,67.77,99,99,2.19
241,Bilibino,RU,2126682,68.05,166.44,-11.61,80,100,4.76
242,Acapulco de Juárez,MX,3533462,16.86,-99.89,87.8,62,20,6.93
243,Valera,VE,3625542,9.32,-70.6,83.43,57,11,4.94
244,Chu,KZ,1519030,43.6,73.76,46,40,55,10
245,Kandrian,PG,2094746,-6.22,149.55,78.21,85,100,9.62
246,Pacific Grove,US,5380437,36.62,-121.92,54.95,51,20,14.99
247,Saldanha,ZA,3361934,-33.01,17.94,64.4,82,0,12.75
248,Sarkand,KZ,1519691,45.41,79.92,38.07,47,0,7.18
249,Geraldton,AU,2070998,-28.77,114.6,72.39,88,40,11.41
250,Ketchikan,US,5554428,55.34,-131.65,38.32,38,1,13.87
251,Ust-Nera,RU,2120048,64.57,143.2,-28.71,96,0,1.16
252,Cabo Rojo,PR,4562996,18.09,-67.15,81.05,69,75,13.87
253,Thompson,CA,6165406,55.74,-97.86,6.8,46,20,2.24
254,Tubualá,PA,3700393,9.52,-79.03,91.24,41,20,16.11
255,Iskateley,RU,866062,67.68,53.15,1.17,86,19,3.74
256,Lorengau,PG,2092164,-2.02,147.27,83.79,78,100,12.21
257,Ol'ga,RU,2018553,43.74,135.29,30.33,78,99,14.79
258,Mossamedes,AO,3347019,-15.2,12.15,76.23,75,100,4.09
259,Bengkulu,ID,1649150,-3.8,102.27,74.61,91,95,3.27
260,Port Macquarie,AU,2152659,-31.43,152.92,61.36,100,90,12.75
261,Ngunguru,NZ,2186111,-35.62,174.5,65.59,75,0,5.01
262,Čejkovice,CZ,3078181,48.91,16.94,34.77,43,49,6.93
263,Kuusamo,FI,649924,65.97,29.18,-7.6,83,15,1.12
264,Eyrarbakki,IS,3413604,63.86,-21.15,18.81,58,20,10.29
265,Disna,BY,629055,55.57,28.2,24.03,69,0,9.82
266,San Lazaro,BZ,3581514,18.04,-88.66,84.2,70,20,8.05
267,Sakakah,SA,102527,29.97,40.21,60.8,67,75,20.8
268,Douglas,US,5067114,41.3,-96.17,34.75,74,90,6.93
269,Carndonagh,IE,2965761,55.25,-7.27,39.51,92,36,8.68
270,Morant Bay,JM,3489440,17.88,-76.41,85.06,62,20,10.29
271,Câmara de Lobos,PT,2270380,32.63,-16.97,57.58,76,75,11.41
272,Puerto del Rosario,ES,2512186,28.5,-13.86,64.4,68,20,13.87
273,Kumul,CN,1529484,42.8,93.45,35.91,31,60,4.12
274,Grafton,US,4938048,42.21,-71.69,49.71,39,1,14.99
275,Orbetello,IT,3171985,42.44,11.22,49.03,87,40,1.12
276,Sanguéya,GN,2416061,10.7,-14.37,78.21,74,28,5.88
277,Krasnaya Gora,RU,542788,53,31.6,30.2,68,75,13.42
278,Bose,IT,6457397,45.46,8.01,46.13,81,75,3.36
279,Ures,MX,3980782,29.43,-110.4,73.29,43,0,1.99
280,Angoche,MZ,1052944,-16.23,39.91,73.71,95,46,4.47
281,Kulhudhuffushi,MV,1337613,6.62,73.07,83.43,75,4,6.98
