Record,City,Country,ID,Latitude,Longitude,Temperature,Humidity,Cloud Cover,Wind Speed
282,Shenjiamen,CN,1795632,29.96,122.3,51.57,70,0,11.99
283,Monduli,TZ,153247,-3.3,36.45,68.67,86,100,8.84
284,Ocós,GT,3592086,14.51,-92.19,89.6,62,40,6.93
285,Touros,BR,3386213,-5.2,-35.46,82.4,74,40,9.17
286,Guerrero Negro,MX,4021858,27.98,-114.06,67.59,56,0,11.63
287,Price,US,5545269,39.6,-110.81,42.85,81,90,5.82
288,Houma,US,4328010,29.6,-90.72,79.97,65,1,11.41
289,Sungai Raya,ID,1625908,0.7,108.9,74.79,96,100,2.42
290,Sekoma,BW,933102,-24.4,23.88,78.75,35,74,7.27
291,Honiara,SB,2108502,-9.43,159.95,78.8,88,40,4.7
292,Pochutla,MX,3517970,15.74,-96.47,88.34,52,20,17.22
293,Coahuayana Viejo,MX,4013679,18.73,-103.68,80.6,74,40,6.85
294,Caravelas,BR,3466980,-17.71,-39.25,80.55,79,97,11.88
295,Aurās,IN,1278142,26.92,80.52,64.4,93,75,2.24
296,Zhalantun,CN,2033225,48,122.72,-1.89,79,0,6.93
297,Evensk,RU,2125693,61.95,159.23,14.49,95,100,9.35
298,Nikolskoye,RU,546105,59.7,30.79,25.7,35,97,17.9
299,Rantepao,ID,1629974,-2.97,119.9,66.87,96,100,0.49
300,Toktogul,KG,1538648,41.87,72.94,22.77,56,0,6.38
301,García,MX,3980190,25.82,-100.58,84.83,42,75,5.82
302,Marawi,PH,1701054,8,124.29,73.99,87,1,5.01
303,Valparaíso,CL,3868626,-33.04,-71.63,72.7,38,0,17.22
304,Drayton Valley,CA,5942547,53.22,-114.99,2.25,82,100,7.92
305,Olafsvik,IS,3414079,64.89,-23.71,26.19,70,63,12.1
306,Kholodnyy,RU,2124611,62.72,147.95,-12.33,89,100,4.21
307,São João da Barra,BR,3448903,-21.64,-41.05,81.21,78,35,6.93
308,Kaeo,NZ,2189343,-35.1,173.78,65.46,88,1,1.99
309,Kuching,MY,1735634,1.55,110.33,77,94,40,1.92
310,Danielskuil,ZA,1011918,-28.19,23.54,65.25,39,0,1.74
311,Riyadh,SA,108410,24.69,46.72,68,45,38,3.36
312,Kyren,RU,2021031,51.68,102.14,18.81,81,100,8.84
313,Kalmunai,LK,1242110,7.42,81.82,81.09,75,43,10.33
314,Ati,TD,2436400,13.22,18.34,74.61,11,0,12.62
315,Ponta do Sol,PT,2264557,32.67,-17.1,57.61,76,75,11.41
316,Tasiilaq,GL,3424607,65.61,-37.64,3.2,65,0,3.36
317,Bereda,ES,3105522,43.27,-7.54,47.17,87,20,1.12
318,Igarka,RU,1505991,67.47,86.58,30.15,97,100,16.26
319,Rambha,IN,1258714,19.52,85.1,74.25,80,85,4
320,Youghal,IE,2960869,51.95,-7.85,47.8,81,40,14.99
321,Deputatsky,RU,2028164,69.3,139.9,-35.91,98,0,1.28
322,Maniitsoq,GL,3421982,65.42,-52.9,3.33,85,99,12.3
323,Jijiga,ET,333795,9.35,42.8,67.05,70,47,3
324,Āreka,ET,343593,7.07,37.7,69.03,65,99,2.8
325,Kabalo,CD,215668,-6.05,26.92,69.39,92,71,0.94
326,Cookeville,US,4615145,36.16,-85.5,52.07,76,75,5.21
327,Puerto Quijarro,BO,3444201,-17.78,-57.77,89.55,57,36,4.18
328,Puerto Lempira,HN,3603157,15.27,-83.77,79.65,78,4,13.53
329,Awjilah,LY,88533,29.11,21.29,63.99,37,94,0.47
330,Kasane,BW,933677,-17.82,25.15,69.93,83,94,4.74
331,Necochea,AR,3430443,-38.55,-58.74,66.99,73,0,8.99
332,San Juan Bautista,PE,3929493,-14.01,-75.74,74.79,30,95,19.46
333,Envira,BR,3664301,-7.3,-70.22,91.35,55,54,0.85
334,Narasannapeta,IN,1261853,18.42,84.05,72.63,85,0,1.72
335,Alice Town,BS,3572924,25.72,-79.3,76.23,75,27,10.36
336,High Prairie,CA,5975034,55.43,-116.49,2.79,76,0,0.56
337,Norden,DE,2862118,53.6,7.2,45.09,65,20,11.41
338,Kushiro,JP,2129376,42.98,144.37,29.43,92,100,7.76
339,Mbandaka,CD,2312895,0.05,18.26,76.05,70,1,0.4
340,Aracoiaba,BR,3407367,-4.37,-38.81,76.41,93,100,3.76
341,Newark,US,5101798,40.74,-74.17,53.17,22,75,13.87
342,Upata,VE,3625710,8.01,-62.4,87.21,44,98,2.84
343,Bariloche,AR,7647007,-41.15,-71.31,66.2,25,0,9.17
344,Safranbolu,TR,740430,41.25,32.69,42.57,88,22,2.55
345,Mayo,US,4362001,38.89,-76.51,55.42,34,90,3.36
346,Half Moon Bay,US,5354943,37.46,-122.43,50.23,93,40,6.93
347,Namatanai,PG,2090021,-3.67,152.43,82.71,74,100,5.28
348,Vangaindrano,MG,1054329,-23.35,47.6,72.63,96,78,4.07
349,Uray,RU,1488429,60.12,64.78,30.69,85,22,10.87
350,Yomou,GN,2414079,7.56,-9.27,80.55,70,77,5.99
351,São Borja,BR,3449340,-28.66,-56,99.99,24,70,3.69
352,Yar-Sale,RU,1486321,66.83,70.83,2.43,89,98,16.73
353,Lamu,KE,189741,-2.27,40.9,84.51,76,41,11.61
354,Kushikino,JP,1858041,31.72,130.27,40.96,74,75,4.7
355,Batemans Bay,AU,2176639,-35.72,150.18,44.37,75,0,3.69
356,Makakilo City,US,5850554,21.35,-158.09,79.43,51,40,5.82
357,Lianran,CN,1803886,24.92,102.48,50.76,100,4,2.24
358,Saint-Joseph,RE,6690296,-21.37,55.62,74.39,73,20,8.05
359,Keetmanshoop,NA,3356264,-26.58,18.13,80.6,26,0,13.87
360,Maragogi,BR,3395458,-9.01,-35.22,82.53,74,100,12.24
361,Kieta,PG,2094027,-6.22,155.63,83.25,78,100,11.21
362,Solton,RU,1491428,52.84,86.48,29.61,83,100,8.9
363,Hualmay,PE,3939761,-11.1,-77.61,78.21,62,100,9.22
364,Inhambane,MZ,1045114,-23.86,35.38,78.21,81,0,8.28
365,Glace Bay,CA,5961564,46.2,-59.96,35.02,59,90,32.21
366,Yulara,AU,6355222,-25.24,130.99,77,29,0,13.87
367,Florián,CO,3682395,5.8,-73.97,72.27,90,86,1.5
368,Vostok,RU,2013279,46.49,135.88,7.65,96,100,2.06
369,Tucker,US,4227213,33.85,-84.22,71.8,53,40,8.05
370,Haines Junction,CA,5969025,60.75,-137.51,25.29,68,0,1.9
371,Camaçari,BR,3468031,-12.7,-38.32,82.4,83,75,9.17
372,Viedma,AR,3832899,-40.81,-63,68.13,34,0,13.69
373,Oskaloosa,US,4870239,41.3,-92.64,34.99,85,90,13.87
374,Beira,MZ,1052373,-19.84,34.84,77,94,20,4.7
375,Tegul'det,RU,1489822,57.31,88.17,31.95,96,100,17.4
376,Tonj,SS,365763,7.27,28.68,84.87,26,47,5.03
377,Quatre Cocos,MU,1106643,-20.21,57.76,76.12,88,40,3.36
378,Aasiaat,GL,3424901,68.71,-52.87,-5.13,93,100,6.13
379,Mahrīz,IR,124274,31.59,54.43,66.2,52,40,8.84
380,Samaná,DO,3492997,19.21,-69.34,77.97,83,75,4.7
381,San Cristobal,VE,3628473,7.77,-72.22,84.2,62,75,9.17
382,Zyryanka,RU,2119283,65.75,150.85,-18.81,91,100,12.44
383,Mount Gambier,AU,2156643,-37.83,140.77,53.6,76,90,8.05
384,Changping,CN,2038154,40.22,116.22,46.44,41,0,4.47
385,Yokadouma,CM,2220853,3.52,15.05,79.11,23,94,1.21
386,Sangar,RU,2017215,63.92,127.47,-11.79,93,100,8.52
387,Athabasca,CA,5887916,54.72,-113.29,3.51,79,100,5.28
388,Carnot,CF,2387495,4.94,15.87,84.33,14,95,6.49
389,Talara,PE,3691582,-4.58,-81.27,62.6,100,40,11.41
390,Tessalit,ML,2449893,20.2,1.01,77.31,11,72,9.6
391,Waterloo,CA,6176823,43.47,-80.52,34.7,66,90,6.93
392,Smidovich,RU,2016412,48.6,133.82,3.33,97,79,7.36
393,Severo-Kuril'sk,RU,2121385,50.68,156.12,12.87,81,0,4.76
394,Zavyalovo,RU,1505506,54.51,82.45,35.6,80,90,15.66
395,Yenagoa,NG,2318123,4.92,6.26,81.27,82,100,4.76
396,Belaya Gora,RU,2126785,68.53,146.42,-29.97,89,41,1.77
397,Khandyga,RU,2022773,62.67,135.6,-24.93,96,0,3.76
398,Port Moresby,PG,2088122,-9.44,147.18,75.2,100,20,11.41
399,Novo Aripuanã,BR,3663142,-5.12,-60.38,76.05,96,100,1.7
400,Sladkovo,RU,1491719,55.53,70.34,31.23,92,83,12.82
401,Najrān,SA,103630,17.49,44.13,80.6,32,40,5.82
402,Nouadhibou,MR,2377457,20.93,-17.03,68,72,0,18.34
403,Emerald,AU,2167426,-23.53,148.17,68,64,0,10.29
404,Honningsvåg,NO,779554,70.98,25.97,24.39,67,100,26.08
405,Solnechnyy,RU,2016307,50.72,136.63,2.79,87,18,6.73
406,Richards Bay,ZA,962367,-28.78,32.04,77.31,87,0,7.52
407,Lufilufi,WS,4035249,-13.87,-171.6,87.48,70,40,11.41
408,Cherskiy,RU,2126199,68.75,161.3,-8.73,82,100,3.13
409,Talaya,RU,2120769,61.38,152.75,-11.61,98,100,3.56
410,San Policarpo,PH,1688696,12.18,125.51,76.05,73,90,4.97
411,Polson,US,5671996,47.69,-114.16,14,56,90,24.16
412,Wamba,NG,2319257,8.93,8.6,76.41,16,100,2.57
413,Guntakal,IN,1270670,15.17,77.38,75.69,58,0,8.3
414,Boende,CD,218680,-0.22,20.87,77.13,69,32,1.86
415,Ban Nahin,LA,1661950,18.24,104.21,73.89,70,94,4.81
416,Coquimbo,CL,3893629,-29.95,-71.34,68,72,27,14.99
417,Meulaboh,ID,1214488,4.14,96.13,83.43,73,100,7.02
418,Yuzhno-Kurilsk,RU,2119447,44.03,145.86,28.53,77,100,9.44
419,Dudinka,RU,1507116,69.41,86.18,30.2,100,75,22.37
420,Gorgota,RO,676907,44.78,26.08,46.71,100,100,5.82
421,Köflach,AT,2773848,47.07,15.08,42.49,56,75,3.36
422,Sorbhog,IN,1255708,26.5,90.87,69.03,69,100,6.6
423,Villanueva de la Serena,ES,2509553,38.98,-5.8,64,56,15,2.71
424,Padang,ID,1633419,-0.95,100.35,68.31,93,83,4.54
425,Adrar,MR,2381972,20.5,-10.07,70.47,8,0,3.89
426,Marsh Harbour,BS,3571913,26.54,-77.06,74.97,76,5,10.25
427,Jiazi,CN,1805935,22.88,116.07,60.03,87,1,4.5
428,Jabonga,PH,1710399,9.34,125.52,74.25,85,39,3.65
429,Mātherān,IN,1263370,18.98,73.27,77,53,20,3.36
430,Fairbanks,US,5861897,64.84,-147.72,18.64,67,90,5.82
431,Iqaluit,CA,5983720,63.75,-68.51,-16.35,62,20,12.75
432,Nicoya,CR,3622716,10.15,-85.45,95,41,20,16.11
433,Lata,PT,2738381,40.16,-8.33,52.3,81,0,5.82
434,Oktyabr'skiy,RU,515879,54.48,53.47,32.13,99,100,4.16
435,Portobelo,PA,3702577,9.55,-79.65,90.43,41,20,16.11
436,Muros,ES,3115824,42.78,-9.06,49.44,93,7,2.24
437,Kingaroy,AU,2161376,-26.53,151.83,62.78,82,18,11.41
438,Tiznit Province,MA,2527087,29.58,-9.5,54.09,85,41,3.78
439,Wanning,CN,1791779,18.8,110.4,72.09,95,100,6.85
440,Acarí,PE,3948613,-15.43,-74.62,71.55,74,100,8.66
441,Hong Kong,HK,1819729,22.29,114.16,66.92,52,20,8.05
442,Santa Isabel Rio Negro,BR,3662489,-0.41,-65.02,89.55,56,92,1.7
443,Champerico,GT,3598787,14.3,-91.92,89.6,62,40,6.93
444,Kasempa,ZM,912628,-13.46,25.83,64.53,95,80,2.17
445,Bilma,NE,2446796,18.69,12.92,66.69,16,0,6.73
446,Siddipet,IN,1256377,18.1,78.85,73.17,64,46,4.94
447,Nhulunbuy,AU,2064735,-12.23,136.77,75.2,94,73,4.7
448,Thaton,MM,1292288,16.92,97.37,72.27,57,93,1.83
449,Merauke,ID,2082539,-8.47,140.33,75.51,94,57,4.45
450,Sur,OM,286245,22.57,59.53,68.67,32,100,6.17
451,Tahoua,NE,2439376,14.89,5.27,86,8,92,6.93
452,Narón,ES,3115739,43.52,-8.15,49.71,87,20,1.12
453,Ucluelet,CA,6171633,48.93,-125.55,43.41,22,20,9.17
454,Recea,RO,669043,47.63,23.52,39.38,52,68,3.36
455,Lima,PE,3936456,-12.04,-77.03,80.6,61,100,14.99
456,Port Blair,IN,1259385,11.67,92.75,81.99,69,25,6.26
457,Pingxiang,CN,1798654,27.62,113.85,47.97,77,0,1.95
458,Laguna,US,5364271,38.42,-121.42,49.6,81,90,10.29
459,Anna Paulowna,NL,2757220,52.86,4.83,46.96,87,90,17.22
460,Usinsk,RU,863061,65.99,57.53,7.29,86,100,11.43
461,Cap Malheureux,MU,934649,-19.98,57.61,76.01,88,40,3.36
462,Chumikan,RU,2025256,54.72,135.31,-1.89,82,0,5.28
463,Krasnosel'kup,RU,1502073,65.7,82.47,31.95,97,100,14.45
464,Muhos,FI,645765,64.81,25.99,15.13,72,63,6.93
465,Topolobampo,MX,3981345,25.6,-109.05,81,27,40,12.75
466,Bayir,TR,304183,37.27,28.22,50,93,100,3.36
467,Briceni,MD,618512,48.36,27.7,34,69,41,8.75
468,Ganzhou,CN,1810637,28.82,115.43,48.51,60,0,2.91
469,Eureka,US,5563397,40.8,-124.16,47.43,87,75,13.87
470,Östersund,SE,2685750,63.18,14.64,25.79,45,40,12.75
471,Americus,US,4179667,32.07,-84.23,83.53,35,40,8.05
472,Fairlie,GB,2649738,55.76,-4.86,49.23,81,100,24.16
473,Otane,NZ,2185329,-39.88,176.63,60.01,85,7,3.47
474,Cabrero,CL,3897557,-37.03,-72.4,75.9,27,2,16.11
475,Mubende,UG,228971,0.56,31.39,65.61,93,19,0.65
476,Sorong,ID,1626542,-0.88,131.25,72.99,98,100,1.36
477,Nānākuli,US,5851349,21.39,-158.15,79.39,78,90,6.93
478,Makkah al Mukarramah,SA,104515,21.43,39.83,66.33,54,0,2.77
479,Rawson,AR,3839307,-43.3,-65.1,61.65,64,0,12.82
480,Khuldābād,IN,1266631,20.05,75.18,65.43,16,0,7.76
481,Lena,ES,3118547,43.1,-5.73,43.36,87,31,2.24
482,Iralaya,HN,3608828,15,-83.23,80.19,79,15,15.88
483,Preobrazheniye,RU,2017658,42.9,133.91,25.47,80,100,3.6
484,Reyes,BO,3906478,-14.32,-67.38,95,56,75,3.69
485,Dillon,US,4576653,34.42,-79.37,69.37,40,90,4.7
486,Palu,ID,1633034,-0.89,119.87,66.87,97,100,1.77
487,Pacifica,US,5380420,37.61,-122.49,49.96,93,40,6.93
488,Ponnāni,IN,1259411,10.77,75.93,80.6,69,20,1.28
489,Sioux Lookout,CA,6148373,50.1,-91.92,21.36,24,1,6.93
490,Bathurst,AU,2176632,-33.42,149.58,48.42,83,0,5.01
491,Den Helder,NL,2757220,52.96,4.76,47.05,87,90,17.22
492,Baikunthpur,IN,1277769,23.25,82.55,65.79,90,34,2.77
493,Sisimiut,GL,3419842,66.94,-53.67,-10.53,96,91,2.98
494,Abu Dhabi,AE,292968,24.47,54.37,74.75,83,100,3.36
495,Camacha,PT,2270385,33.08,-16.33,59.31,63,75,12.75
496,La Asuncion,VE,3480908,11.03,-63.86,87.8,55,1,14.99
497,Königs Wusterhausen,DE,2885732,52.3,13.63,35.26,50,10,6.93
498,Luganville,VU,2136150,-15.53,167.17,77,88,90,8.05
499,Berlevåg,NO,780687,70.86,29.09,22.05,74,93,28.68
500,Yeppoon,AU,2142316,-23.13,150.73,71.6,68,14,3.36
501,Hay River,CA,5972762,60.82,-115.8,12.2,39,75,16.11
502,Cavalcante,BR,3466594,-13.8,-47.46,69.93,88,46,5.44
503,Taksimo,RU,2015701,56.34,114.88,-1.53,94,100,0.87
504,Zhigansk,RU,2012530,66.77,123.37,-5.85,95,100,21.77
505,Annau,TM,162199,37.89,58.52,66.2,42,90,4.7
506,Kamenka,RU,553766,51.32,42.77,37,91,0,5.01
507,Beloha,MG,1067565,-25.17,45.05,73.35,82,100,11.41
508,Xining,CN,1788852,36.62,101.77,29.61,38,100,3.18
509,Pangnirtung,CA,6096551,66.15,-65.71,-29.61,98,100,3.4
510,Carutapera,BR,3402648,-1.2,-46.02,81.45,83,67,13.78
511,Matadi,CD,2313002,-5.82,13.45,76.77,94,99,2.17
512,Cururupu,BR,3401148,-1.83,-44.87,78.39,93,100,3.02
513,Kenda,IN,1267290,23.2,86.53,66.15,78,100,7.27
514,South Sioux City,US,5079250,42.47,-96.41,32.83,74,75,12.75
515,Paldiski,EE,589663,59.36,24.05,29.28,63,20,14.99
516,Virden,US,4252060,39.5,-89.77,36.66,93,90,11.41
517,Charters Towers,AU,2171722,-20.1,146.27,68.31,67,78,5.97
518,Totness,SR,3382867,5.88,-56.32,80.37,77,38,17.13
519,Mitsamiouli,KM,921786,-11.38,43.28,83.07,78,100,11.74
520,Ayan,RU,2027316,56.45,138.17,-6.39,68,0,11.72
521,Iranshahr,IR,1160939,27.2,60.68,68,28,100,4.7
522,Izmalkovo,RU,554806,52.69,37.96,34.29,89,100,17.52
523,Mount Isa,AU,2065594,-20.73,139.5,73.4,49,42,8.05
524,Grindavik,IS,3416888,63.84,-22.43,25.66,68,40,11.41
525,Chara,RU,2025630,56.91,118.26,-7.29,79,100,2.21
526,Antofagasta,CL,3899539,-23.65,-70.4,69.8,68,20,14.99
527,‘Āhuimanu,US,5856516,21.44,-157.84,79.39,61,20,9.17
528,Acajutla,SV,3587498,13.59,-89.83,86.94,32,40,3.36
529,Kirakira,SB,2178753,-10.45,161.92,81.27,82,97,12.1
530,Grand-Santi,GF,3381538,4.25,-54.38,94.77,33,100,5.17
531,Xam Nua,LA,1652203,20.42,104.04,62.91,93,90,2.8
532,Lyuban',BY,625721,52.8,28,25.83,89,63,12.82
533,Zhuhai,CN,1790437,22.28,113.57,67.3,72,20,11.41
534,La Palma,US,5364022,33.85,-118.05,59.09,63,90,6.15
535,Pecos,US,5528182,31.42,-103.49,75.9,31,1,6.29
536,Kharhiāl,IN,1266924,20.28,82.77,73.89,65,67,7.05
537,Tazmalt,DZ,2477537,36.39,4.4,59,82,40,4.7
538,Husavik,IS,2629833,66.04,-17.34,6.8,84,40,12.75
539,Gayny,RU,561698,60.31,54.32,23.13,93,62,5.55
540,Pechenga,RU,511865,69.53,31.17,6.8,77,55,20.8
541,Ginda,IN,1253628,30.69,78.49,40.59,77,81,3.22
542,Faya,SA,110690,18.39,42.45,59.88,87,5,13.87
543,Newcastle,AU,2155472,-32.93,151.78,60.82,68,90,16.11
544,Smiths Falls,CA,6150174,44.9,-76.02,42.89,41,75,19.46
545,Avera,US,4231997,33.19,-82.53,80.87,51,40,10.29
546,Belmonte,BR,3470137,-15.86,-38.88,81.84,74,20,4.7
547,Mehamn,NO,778707,71.04,27.85,11.61,77,100,15.95
548,North Battleford,CA,6089404,52.78,-108.28,7.43,60,75,18.34
549,Jiangyou,CN,1885823,31.77,104.72,42.93,59,20,2.01
550,Pathein,MM,1328421,16.78,94.73,77.31,86,3,10.58
551,Pedernales,DO,3495137,18.04,-71.74,87.8,58,40,17.22
552,Mattru,SL,2409215,7.62,-11.83,81.27,77,100,6.02
553,Djambala,CG,2260401,-2.54,14.75,77.49,54,100,4.52
554,Ponta Delgada,PT,3372783,37.73,-25.67,57.2,76,20,3.36
555,Pantayivka,UA,698008,48.67,32.88,35.73,58,0,12.26
556,São Filipe,CV,3374210,14.9,-24.5,75.15,51,27,15.95
557,Havre-St-Pierre,CA,5972291,50.23,-63.6,28.4,86,90,16.11
558,Minsk,BY,625144,53.9,27.57,24.8,79,76,13.42
559,Anadyr,RU,2127202,64.75,177.48,19.4,92,40,31.32
560,La Libertad,EC,3655131,-2.23,-80.9,84.2,70,87,5.82
561,Bukachacha,RU,2026023,52.98,116.92,-1.17,89,0,1.99
562,Sakaiminato,JP,1853174,35.55,133.23,37.4,93,75,6.93
563,Tallahassee,US,4174715,30.44,-84.28,84.34,40,75,6.93
564,Golspie,GB,2648341,57.97,-3.98,43.77,75,20,12.75
